"Time (sec.)"	"Cycles"	"P1"
0.000000000	0	255.000000000
0.074710000	74710	127.000000000
0.140228000	140228	191.000000000
0.205764000	205764	217.000000000
0.271300000	271300	237.000000000
0.336836000	336836	255.000000000
0.402372000	402372	237.000000000
0.467908000	467908	217.000000000
0.533444000	533444	191.000000000
0.598996000	598996	127.000000000
0.664548000	664548	63.000000000
0.730084000	730084	37.000000000
0.795636000	795636	17.000000000
0.860731000	860731	0.000000000
0.926707000	926707	17.000000000
0.992227000	992227	37.000000000
1.057763000	1057763	63.000000000
1.123285000	1123285	127.000000000
1.188803000	1188803	191.000000000
1.254339000	1254339	217.000000000
1.319875000	1319875	237.000000000
1.385411000	1385411	255.000000000
1.450947000	1450947	237.000000000
1.516483000	1516483	217.000000000
1.582019000	1582019	191.000000000
1.647571000	1647571	127.000000000
1.713123000	1713123	63.000000000
1.778659000	1778659	37.000000000
1.844211000	1844211	17.000000000
1.909306000	1909306	0.000000000
1.975284000	1975284	17.000000000
2.040804000	2040804	37.000000000
2.106340000	2106340	63.000000000
2.171862000	2171862	127.000000000
2.237380000	2237380	191.000000000
2.302916000	2302916	217.000000000
2.368452000	2368452	237.000000000
2.433988000	2433988	255.000000000
2.499524000	2499524	237.000000000
2.565060000	2565060	217.000000000
2.630596000	2630596	191.000000000
2.696148000	2696148	127.000000000
2.761700000	2761700	63.000000000
2.827236000	2827236	37.000000000
2.892788000	2892788	17.000000000
2.957883000	2957883	0.000000000
3.023859000	3023859	17.000000000
3.089379000	3089379	37.000000000
3.154915000	3154915	63.000000000
3.220437000	3220437	127.000000000
3.285955000	3285955	191.000000000
3.351491000	3351491	217.000000000
3.417027000	3417027	237.000000000
3.482563000	3482563	255.000000000
3.548099000	3548099	237.000000000
3.613635000	3613635	217.000000000
3.679171000	3679171	191.000000000
3.744723000	3744723	127.000000000
3.810275000	3810275	63.000000000
3.875811000	3875811	37.000000000
3.941363000	3941363	17.000000000
4.006458000	4006458	0.000000000
4.072436000	4072436	17.000000000
4.137956000	4137956	37.000000000
4.203492000	4203492	63.000000000
4.269014000	4269014	127.000000000
4.334532000	4334532	191.000000000
4.400068000	4400068	217.000000000
4.465604000	4465604	237.000000000
4.531140000	4531140	255.000000000
4.596676000	4596676	237.000000000
4.662212000	4662212	217.000000000
4.727748000	4727748	191.000000000
4.793300000	4793300	127.000000000
4.858852000	4858852	63.000000000
4.924388000	4924388	37.000000000
4.989940000	4989940	17.000000000
5.055035000	5055035	0.000000000
5.121011000	5121011	17.000000000
5.186531000	5186531	37.000000000
5.252067000	5252067	63.000000000
5.317589000	5317589	127.000000000
5.383107000	5383107	191.000000000
5.448643000	5448643	217.000000000
5.514179000	5514179	237.000000000
5.579715000	5579715	255.000000000
5.645251000	5645251	237.000000000
5.710787000	5710787	217.000000000
5.776323000	5776323	191.000000000
5.841875000	5841875	127.000000000
5.907427000	5907427	63.000000000
5.972963000	5972963	37.000000000
6.038515000	6038515	17.000000000
6.103610000	6103610	0.000000000
6.169588000	6169588	17.000000000
6.235108000	6235108	37.000000000
6.300644000	6300644	63.000000000
6.366166000	6366166	127.000000000
6.431684000	6431684	191.000000000
6.497220000	6497220	217.000000000
6.562756000	6562756	237.000000000
6.628292000	6628292	255.000000000
6.693828000	6693828	237.000000000
6.759364000	6759364	217.000000000
6.824900000	6824900	191.000000000
6.890452000	6890452	127.000000000
6.956004000	6956004	63.000000000
7.021540000	7021540	37.000000000
7.087092000	7087092	17.000000000
7.152187000	7152187	0.000000000
7.218163000	7218163	17.000000000
7.283683000	7283683	37.000000000
7.349219000	7349219	63.000000000
7.414741000	7414741	127.000000000
7.480259000	7480259	191.000000000
7.545795000	7545795	217.000000000
7.611331000	7611331	237.000000000
7.676867000	7676867	255.000000000
7.742403000	7742403	237.000000000
7.807939000	7807939	217.000000000
7.873475000	7873475	191.000000000
7.939027000	7939027	127.000000000
8.004579000	8004579	63.000000000
8.070115000	8070115	37.000000000
8.135667000	8135667	17.000000000
8.200762000	8200762	0.000000000
8.266740000	8266740	17.000000000
8.332260000	8332260	37.000000000
8.397796000	8397796	63.000000000
8.463318000	8463318	127.000000000
8.528836000	8528836	191.000000000
8.594372000	8594372	217.000000000
8.659908000	8659908	237.000000000
8.725444000	8725444	255.000000000
8.790980000	8790980	237.000000000
8.856516000	8856516	217.000000000
8.922052000	8922052	191.000000000
8.987604000	8987604	127.000000000
9.053156000	9053156	63.000000000
9.118692000	9118692	37.000000000
9.184244000	9184244	17.000000000
9.249339000	9249339	0.000000000
9.315315000	9315315	17.000000000
9.380835000	9380835	37.000000000
9.446371000	9446371	63.000000000
9.511893000	9511893	127.000000000
9.577411000	9577411	191.000000000
9.642947000	9642947	217.000000000
9.708483000	9708483	237.000000000
9.774019000	9774019	255.000000000
9.839555000	9839555	237.000000000
9.905091000	9905091	217.000000000
9.970627000	9970627	191.000000000
10.036179000	10036179	127.000000000
10.101731000	10101731	63.000000000
10.167267000	10167267	37.000000000
10.232819000	10232819	17.000000000
10.297914000	10297914	0.000000000
10.363892000	10363892	17.000000000
10.429412000	10429412	37.000000000
10.494948000	10494948	63.000000000
10.560470000	10560470	127.000000000
10.625988000	10625988	191.000000000
10.691524000	10691524	217.000000000
10.757060000	10757060	237.000000000
10.822596000	10822596	255.000000000
10.888132000	10888132	237.000000000
